Player,Jersey_Num,Class,Position,Height,Weight,Hometown,High_School,Summary,Team,Year
Zeke Marshall,44,SR,C,7-0,235,McKeesport PA,McKeesport,13.0 Pts 7.0 Reb 0.8 Ast,Akron,2013
Demetrius Treadwell,1,JR,F,6-7,236,Euclid OH,Euclid,11.5 Pts 7.9 Reb 1.6 Ast,Akron,2013
Alex Abreu,11,JR,G,5-11,175,,Each One Teach One Academy (NJ),10.3 Pts 2.5 Reb 6.0 Ast,Akron,2013
Nick Harney,10,JR,F,6-8,210,Cleveland OH,Benedictine,9.5 Pts 3.8 Reb 1.2 Ast,Akron,2013
Brian Walsh,2,SR,G,6-5,200,Coraopolis PA,Moon,7.2 Pts 3.5 Reb 1.6 Ast,Akron,2013
Jake Kretzer,15,FR,F,6-7,216,Bainbridge OH,Waverly HS,5.7 Pts 3.2 Reb 1.0 Ast,Akron,2013
Chauncey Gilliam,23,SR,F,6-5,230,Columbia MD,Brewster Academy (NH),5.6 Pts 1.7 Reb 0.7 Ast,Akron,2013
Reggie McAdams,21,FR,F,6-7,208,Elida OH,Elida HS,4.6 Pts 1.3 Reb 0.4 Ast,Akron,2013
Pat Forsythe,34,FR,C,6-11,245,Brunswick OH,Brunswick,3.4 Pts 2.7 Reb 0.3 Ast,Akron,2013
Adedeji Ibitayo,4,SO,G,6-4,200,Chicago IL,Rich Central,3.0 Pts 1.8 Reb 0.7 Ast,Akron,2013
Carmelo Betancourt,12,FR,G,5-11,182,,Montrose Christian (MD),2.0 Pts 0.9 Reb 1.6 Ast,Akron,2013
Jonas Stalyga,5,SO,F,6-8,220,,Grand Island,2.8 Pts 0.4 Reb 0.0 Ast,Akron,2013
Darius Hoisten,30,FR,G,6-5,180,Akron OH,Garfield Heights,0.4 Pts 0.8 Reb 0.0 Ast,Akron,2013
Blake Justice,14,FR,G,6-3,195,Peebles OH,Peebles,0.3 Pts 0.3 Reb 0.3 Ast,Akron,2013
Luke Avsec,3,JR,G,5-10,180,Cleveland OH,Trinity,0.0 Pts 0.3 Reb 0.3 Ast,Akron,2013
Mike Black,10,SR,G,6-0,180,Chicago IL,Oak Park Fenwick,14.8 Pts 3.2 Reb 2.4 Ast,Albany,2013
Jacob Iati,0,SR,G,5-10,165,York PA,York Catholic,12.2 Pts 2.1 Reb 1.7 Ast,Albany,2013
Sam Rowley,14,SO,F,6-6,230,,Knox Grammar School,9.0 Pts 6.2 Reb 1.1 Ast,Albany,2013
Peter Hooley,12,FR,G,6-4,200,Adelaide Australia,Concordia College,8.0 Pts 3.4 Reb 3.1 Ast,Albany,2013
John Puk,44,JR,C,6-10,235,Waterloo IA,Waterloo West,5.3 Pts 4.4 Reb 0.5 Ast,Albany,2013
Blake Metcalf,21,SR,C,6-9,235,Camby IN,Plainfield,3.7 Pts 3.9 Reb 0.9 Ast,Albany,2013
Jayson Guerrier,30,SR,G,6-4,210,Winter Springs FL,,3.7 Pts 1.6 Reb 0.5 Ast,Albany,2013
Luke Devlin,11,JR,F,6-8,235,,Newington College,3.4 Pts 2.2 Reb 0.4 Ast,Albany,2013
DJ Evans,3,JR,G,5-9,175,Brandon MS,East Mississippi,2.4 Pts 0.8 Reb 0.5 Ast,Albany,2013
Gary Johnson,20,JR,F,6-6,205,Moreno Valley CA,Oxnard,3.3 Pts 2.3 Reb 0.5 Ast,Albany,2013
Chris Page,24,FR,G,6-5,190,Plainfield IN,Plainfield,1.4 Pts 0.1 Reb 0.2 Ast,Albany,2013
Dave Wiegmann,22,JR,F,6-8,215,Breese IL,Southwestern Illinois,0.4 Pts 0.5 Reb 0.1 Ast,Albany,2013
Reece Williams,2,FR,G,6-1,200,White Plains NY,Woodlands HS,0.5 Pts 0.3 Reb 0.0 Ast,Albany,2013
Mark Lyons,2,SR,G,6-1,200,Schenectady NY,Brewster Academy (NH),15.6 Pts 1.9 Reb 2.8 Ast,Arizona,2013
Solomon Hill,44,SR,F,6-7,220,Los Angeles CA,Fairfax,13.4 Pts 5.3 Reb 2.7 Ast,Arizona,2013
Nick Johnson,13,SO,G,6-3,200,Gilbert AZ,Findlay Prep,11.5 Pts 3.6 Reb 3.2 Ast,Arizona,2013
Kevin Parrom,3,SR,G,6-6,220,Bronx NY,South Kent (CT),8.3 Pts 4.9 Reb 1.9 Ast,Arizona,2013
Brandon Ashley,21,FR,F,6-8,230,San Francisco CA,Findlay Prep,7.5 Pts 5.3 Reb 0.7 Ast,Arizona,2013
Kaleb Tarczewski,35,FR,C,7-0,235,Claremont NH,St. Mark's School,6.6 Pts 6.1 Reb 0.4 Ast,Arizona,2013
Grant Jerrett,33,FR,F,6-10,235,Chino Hills CA,Lutheran,5.2 Pts 3.6 Reb 0.5 Ast,Arizona,2013
Jordin Mayes,20,JR,G,6-3,190,Los Angeles CA,Westchester,2.8 Pts 0.8 Reb 0.9 Ast,Arizona,2013
Angelo Chol,30,SO,F,6-9,220,San Diego CA,Hoover,1.9 Pts 2.0 Reb 0.1 Ast,Arizona,2013
Gabe York,1,FR,G,6-3,180,West Covina CA,Orange Lutheran HS,2.4 Pts 0.3 Reb 0.6 Ast,Arizona,2013
Max Wiepking,52,SR,F,6-6,220,Englewood CO,Kent Denver School,1.1 Pts 0.4 Reb 0.0 Ast,Arizona,2013
Quinton Crawford,51,SR,G,6-2,200,Old Bridge NJ,Old Bridge,0.0 Pts 0.6 Reb 0.1 Ast,Arizona,2013
Jacob Hazzard,50,FR,G,6-0,160,Los Angeles CA,Loyola HS,0.0 Pts 0.2 Reb 0.2 Ast,Arizona,2013
Drew Mellon,55,SO,F,6-6,205,Santa Ana CA,Mater Dei,0.0 Pts 0.0 Reb 0.0 Ast,Arizona,2013
Ian Clark,21,SR,G,6-3,175,Memphis TN,Germantown,18.2 Pts 3.3 Reb 2.4 Ast,Belmont,2013
Kerron Johnson,3,SR,G,6-1,175,Huntsville AL,Madison Academy,14.0 Pts 3.2 Reb 4.8 Ast,Belmont,2013
Trevor Noack,30,SR,F,6-7,240,Keller TX,Keller Central,12.1 Pts 5.5 Reb 0.6 Ast,Belmont,2013
J.J. Mann,14,JR,G,6-6,215,Smyrna GA,Hargrave Military Academy,10.5 Pts 4.7 Reb 2.5 Ast,Belmont,2013
Blake Jenkins,2,JR,F,6-8,220,Knoxville TN,Bearden,9.6 Pts 4.6 Reb 1.1 Ast,Belmont,2013
Reece Chamberlain,22,SO,G,6-1,190,Goodlettsville TN,Beech,3.6 Pts 1.6 Reb 2.2 Ast,Belmont,2013
Brandon Baker,45,SR,F,6-6,220,Milford OH,Milford,3.3 Pts 2.9 Reb 0.7 Ast,Belmont,2013
Craig Bradshaw,23,FR,G,6-3,210,Ridgetop TN,Christ Presbyterian Academy,2.2 Pts 1.3 Reb 0.6 Ast,Belmont,2013
Adam Barnes,24,SR,G,6-2,190,Clarksville TN,Clarksville,1.0 Pts 0.7 Reb 0.4 Ast,Belmont,2013
Jeff Laidig,1,FR,G,6-4,210,Mishawaka IN,Penn HS,0.9 Pts 0.5 Reb 0.3 Ast,Belmont,2013
Chad Lang,0,SO,C,6-11,310,Marietta GA,Marietta,1.1 Pts 1.0 Reb 0.0 Ast,Belmont,2013
Spencer Turner,11,SO,G,6-3,190,Bloomington IN,Bloomington South,1.3 Pts 0.4 Reb 0.1 Ast,Belmont,2013
Holden Mobley,4,SO,G,6-3,205,Nashville TN,Montgomery Bell Academy,0.8 Pts 0.8 Reb 0.4 Ast,Belmont,2013
Mike Muscala,31,SR,F,6-11,234,Roseville MN,Roseville,18.7 Pts 11.1 Reb 2.3 Ast,Bucknell,2013
Cameron Ayers,42,JR,G,6-5,205,Blue Bell PA,Germantown Academy,12.4 Pts 4.0 Reb 2.0 Ast,Bucknell,2013
Bryson Johnson,12,SR,G,6-2,194,,St David Catholic,11.1 Pts 2.7 Reb 2.3 Ast,Bucknell,2013
Joe Willman,15,SR,F,6-7,217,Tinton Falls NJ,Monmouth Regional,10.6 Pts 5.9 Reb 1.5 Ast,Bucknell,2013
Ryan Hill,24,JR,G,6-3,191,Steelton PA,Steelton-Highspire,2.8 Pts 2.2 Reb 1.4 Ast,Bucknell,2013
Ryan Frazier,32,FR,G,6-0,190,Silver Spring MD,Salisbury School (CT),2.7 Pts 1.2 Reb 0.9 Ast,Bucknell,2013
Steven Kaspar,3,SO,G,6-3,196,Lakeland TN,Evangelical Christian,2.4 Pts 2.1 Reb 2.1 Ast,Bucknell,2013
Brian Fitzpatrick,10,JR,F,6-8,238,Cheshire CT,Northfield Mount Hermon,2.2 Pts 1.6 Reb 0.2 Ast,Bucknell,2013
Dom Hoffman,50,FR,F,6-7,222,Hawthorne NJ,Gill St. Bernard's HS,2.1 Pts 1.6 Reb 0.2 Ast,Bucknell,2013
Ben Brackney,33,JR,G,6-6,205,Lincoln IL,Lincoln,1.7 Pts 1.0 Reb 0.5 Ast,Bucknell,2013
Chris Hass,14,FR,G,6-5,184,Pellston MI,Pellston HS,1.8 Pts 0.8 Reb 0.1 Ast,Bucknell,2013
Joshea Singleton,1,SO,G,6-4,211,Kinston NC,Kestrel Heights,0.9 Pts 0.5 Reb 0.2 Ast,Bucknell,2013
Cory Starkey,22,SO,F,6-8,219,Petoskey MI,Petoskey,1.6 Pts 1.6 Reb 0.0 Ast,Bucknell,2013
Colin Klebon,5,SR,F,6-8,233,Shamokin PA,Southern Columbia,1.0 Pts 1.0 Reb 0.3 Ast,Bucknell,2013
Matt Banas,25,FR,F,6-9,205,Hershey PA,Hershey HS,0.0 Pts 0.7 Reb 0.0 Ast,Bucknell,2013
Rotnei Clarke,15,SR,G,6-0,184,Verdigris OK,Verdigris,16.9 Pts 2.8 Reb 2.7 Ast,Butler,2013
Andrew Smith,44,SR,C,6-11,243,Zionsville IN,Covenant Christian,11.3 Pts 6.1 Reb 1.4 Ast,Butler,2013
Roosevelt Jones,21,SO,F,6-4,227,O Fallon IL,O'Fallon HS,10.1 Pts 5.6 Reb 3.5 Ast,Butler,2013
Khyle Marshall,23,JR,F,6-6,216,Davie FL,Flanagan,9.6 Pts 4.5 Reb 0.3 Ast,Butler,2013
Kellen Dunham,24,FR,G,6-6,185,Pendleton IN,Pendleton Heights HS,9.5 Pts 2.8 Reb 1.1 Ast,Butler,2013
Kameron Woods,31,SO,F,6-9,200,Louisville KY,Eastern,4.5 Pts 4.9 Reb 0.8 Ast,Butler,2013
Erik Fromm,4,JR,F,6-8,223,Bloomington IN,Bloomington South,3.4 Pts 2.5 Reb 0.1 Ast,Butler,2013
Alex Barlow,3,SO,G,5-11,187,Springboro OH,Moeller,2.3 Pts 2.7 Reb 1.9 Ast,Butler,2013
Chase Stigall,33,SR,G,6-3,196,New Castle IN,Chrysler,1.9 Pts 1.3 Reb 0.8 Ast,Butler,2013
Jackson Aldridge,11,SO,G,6-0,187,,Australia Institute of Sport,0.8 Pts 0.8 Reb 0.7 Ast,Butler,2013
Andy Smeathers,0,SO,F,6-8,205,Bargersville IN,Center Grove,1.0 Pts 0.4 Reb 0.1 Ast,Butler,2013
Devontae Morgan,2,FR,G,6-4,180,Tampa FL,Tampa Prep,0.8 Pts 0.4 Reb 0.1 Ast,Butler,2013
Emerson Kampen,30,SR,C,6-8,201,Muncie IN,Yorktown,0.1 Pts 0.2 Reb 0.1 Ast,Butler,2013
Elliott Kampen,22,SO,G,6-5,180,Muncie IN,Yorktown,0.0 Pts 0.2 Reb 0.0 Ast,Butler,2013
Allen Crabbe,23,JR,G,6-6,210,Los Angeles CA,Price,18.4 Pts 6.1 Reb 2.6 Ast,California,2013
Justin Cobbs,1,JR,G,6-3,190,Los Angeles CA,Bishop Montgomery,15.1 Pts 3.5 Reb 4.8 Ast,California,2013
Richard Solomon,35,JR,F,6-10,235,Los Angeles CA,Price,8.9 Pts 6.8 Reb 0.6 Ast,California,2013
David Kravish,45,SO,F,6-10,240,Lee's Summit MO,Lee Summit North,7.9 Pts 6.9 Reb 1.0 Ast,California,2013
Tyrone Wallace,3,FR,G,6-5,200,Bakersfield CA,Bakersfield HS,7.2 Pts 4.4 Reb 2.6 Ast,California,2013
Robert Thurman,34,SR,F,6-10,265,North Edwards CA,Desert,4.9 Pts 3.5 Reb 0.3 Ast,California,2013
Brandon Smith,12,SR,G,6-0,180,San Ramon CA,De La Salle,2.4 Pts 1.4 Reb 1.8 Ast,California,2013
Bak Bak,15,SR,F,6-9,240,,Village Christian,1.5 Pts 1.1 Reb 0.1 Ast,California,2013
Rick Kreklow,24,SO,G,6-7,195,Columbia MO,Rock Bridge,3.1 Pts 2.3 Reb 1.9 Ast,California,2013
Jeff Powers,21,JR,G,6-7,223,Clayton CA,De La Salle,1.3 Pts 0.3 Reb 0.2 Ast,California,2013
Kahlil Johnson,20,FR,G,6-7,206,Los Angeles CA,Price,1.0 Pts 0.8 Reb 0.0 Ast,California,2013
Christian Behrens,14,SO,F,6-8,225,Maple Valley WA,Tahoma,0.7 Pts 1.6 Reb 0.0 Ast,California,2013
Garrett Galvin,10,FR,G,6-4,198,Rancho Santa Fe CA,Torrey Pines,0.0 Pts 0.0 Reb 0.0 Ast,California,2013
Sean Kilpatrick,23,JR,G,6-4,210,Yonkers NY,Notre Dame Prep (MA),17.0 Pts 5.2 Reb 1.9 Ast,Cincinnati ,2013
Cashmere Wright,1,SR,G,6-0,178,Savannah GA,Urban Christian Academy,12.7 Pts 2.4 Reb 3.2 Ast,Cincinnati ,2013
Jaquon Parker,44,SR,G,6-3,198,Suffolk VA,King's Fork,10.9 Pts 4.8 Reb 1.6 Ast,Cincinnati ,2013
Titus Rubles,2,JR,F,6-7,220,Dallas TX,God's Academy,5.9 Pts 5.9 Reb 2.0 Ast,Cincinnati ,2013
Cheikh Mbodji,13,SR,C,6-10,236,,Grayson County College,5.1 Pts 4.7 Reb 0.2 Ast,Cincinnati ,2013
Justin Jackson,5,JR,F,6-8,230,Cocoa Beach FL,Arlington Country Day,3.8 Pts 5.1 Reb 1.5 Ast,Cincinnati ,2013
Jermaine Sanders,15,SO,F,6-5,210,Far Rockaway NY,Rice,3.1 Pts 2.1 Reb 0.8 Ast,Cincinnati ,2013
Shaq Thomas,11,FR,F,6-7,205,Paterson NJ,NIA Prep,3.0 Pts 2.2 Reb 0.5 Ast,Cincinnati ,2013
David Nyarsuk,33,JR,C,7-1,250,,The Patterson School (NC),2.6 Pts 2.5 Reb 0.2 Ast,Cincinnati ,2013
Ge'Lawn Guyn,14,SO,G,6-2,185,Lexington KY,South Kent Prep (CT),2.4 Pts 0.8 Reb 0.4 Ast,Cincinnati ,2013
Jeremiah Davis,0,SO,G,6-4,195,Muncie IN,Huntington Prep (WV),5.5 Pts 2.5 Reb 1.3 Ast,Cincinnati ,2013
Kelvin Gaines,24,SO,C,6-10,227,Ocala FL,Arlington Country Day,0.5 Pts 1.4 Reb 0.0 Ast,Cincinnati ,2013
Alex Eppensteiner,10,SR,G,6-4,190,Cincinnati OH,Elder,0.4 Pts 0.1 Reb 0.4 Ast,Cincinnati ,2013
Spencer Dinwiddie,25,SO,G,6-6,200,Woodland Hills CA,Taft,15.3 Pts 3.2 Reb 3.0 Ast,Colorado ,2013
Askia Booker,0,SO,G,6-2,175,Los Angeles CA,Price,12.4 Pts 3.5 Reb 2.2 Ast,Colorado ,2013
Andre Roberson,21,JR,F,6-7,210,San Antonio TX,Wagner,10.9 Pts 11.2 Reb 1.4 Ast,Colorado ,2013
Josh Scott,40,FR,F,6-10,245,Monument CO,Lewis-Palmer HS,10.3 Pts 5.7 Reb 0.6 Ast,Colorado ,2013
Xavier Johnson,2,FR,G,6-7,230,Los Angeles CA,Mater Dei HS,8.9 Pts 4.8 Reb 0.4 Ast,Colorado ,2013
Sabatino Chen,23,SR,G,6-4,190,Louisville CO,Monarch,4.4 Pts 2.2 Reb 1.3 Ast,Colorado ,2013
Jeremy Adams,31,JR,G,6-5,220,Madison MS,Madison Central,2.6 Pts 1.4 Reb 0.2 Ast,Colorado ,2013
Xavier Talton,3,FR,G,6-2,185,Sterling CO,Sterling HS,1.5 Pts 0.7 Reb 0.5 Ast,Colorado ,2013
Shane Harris-Tunks,15,JR,F,6-11,250,,Australia Institute of Sport,1.3 Pts 1.6 Reb 0.1 Ast,Colorado ,2013
Eli Stalzer,5,FR,G,6-3,195,Brea CA,Mater Dei HS,1.4 Pts 0.8 Reb 0.5 Ast,Colorado ,2013
Beau Gamble,14,SO,G,6-0,180,Boulder CO,Fairview,1.4 Pts 0.6 Reb 0.4 Ast,Colorado ,2013
Ben Mills,32,JR,C,7-0,230,Hartland WI,Arrowhead,1.0 Pts 1.7 Reb 0.1 Ast,Colorado ,2013
Colton Iverson,45,SR,F,6-10,261,Yankton SD,Yankton,14.2 Pts 9.8 Reb 1.3 Ast,Colorado St. ,2013
Dorian Green,22,SR,G,6-2,192,Lawrence KS,Lawrence,13.0 Pts 2.6 Reb 3.6 Ast,Colorado St. ,2013
Wes Eikmeier,10,SR,G,6-3,168,Fremont NE,Archbishop Bergan,12.6 Pts 1.7 Reb 2.1 Ast,Colorado St. ,2013
Greg Smith,44,SR,F,6-6,221,Omaha NE,Ralston,11.2 Pts 5.1 Reb 1.1 Ast,Colorado St. ,2013
Pierce Hornung,4,SR,F,6-5,210,Arvada CO,Ralston Valley,8.4 Pts 8.9 Reb 2.2 Ast,Colorado St. ,2013
Daniel Bejarano,2,SO,G,6-5,210,Phoenix AZ,North,6.3 Pts 5.5 Reb 0.9 Ast,Colorado St. ,2013
Jon Octeus,5,SO,G,6-4,170,Miramar FL,Royal Palm Beach,4.7 Pts 2.6 Reb 1.3 Ast,Colorado St. ,2013
Gerson Santo,15,JR,F,6-9,238,,Colegio Avango,2.1 Pts 1.3 Reb 0.1 Ast,Colorado St. ,2013
Joe De Ciman,12,FR,G,6-6,201,Regina Canada,LeBoldus HS,1.0 Pts 0.4 Reb 0.2 Ast,Colorado St. ,2013
Jordan Mason,14,FR,G,6-2,175,Ennis TX,Ennis,1.8 Pts 0.5 Reb 0.3 Ast,Colorado St. ,2013
Josh Morgan,30,SO,G,6-2,185,Buena Vista CO,Buena Vista,0.8 Pts 0.3 Reb 0.0 Ast,Colorado St. ,2013
Trevor Williams,3,JR,C,7-0,282,Denver CO,Lutheran,0.0 Pts 0.0 Reb 0.0 Ast,Colorado St. ,2013
Stephon Wynn,40,JR,G,5-6,160,St. Louis MO,Fountain-Fort Carson,0.0 Pts 0.0 Reb 0.0 Ast,Colorado St. ,2013
Doug McDermott,3,JR,F,6-8,225,Grand Forks ND,Ames,23.2 Pts 7.7 Reb 1.6 Ast,Creighton,2013
Gregory Echenique,0,SR,C,6-9,260,,St. Benedicts Prep (NJ),9.7 Pts 6.6 Reb 0.4 Ast,Creighton,2013
Grant Gibbs,10,JR,G,6-5,210,Marion IA,Linn-Mar,8.5 Pts 4.1 Reb 5.8 Ast,Creighton,2013
Ethan Wragge,34,JR,F,6-7,225,Eden Prairie MN,Eden Prairie,7.7 Pts 2.6 Reb 0.4 Ast,Creighton,2013
Austin Chatman,1,SO,G,6-0,175,The Colony TX,The Colony,7.4 Pts 2.6 Reb 4.2 Ast,Creighton,2013
Jahenns Manigat,12,JR,G,6-1,180,,Regional Elite Development Academy,5.9 Pts 2.1 Reb 2.3 Ast,Creighton,2013
Avery Dingman,22,SO,G,6-6,215,Branson MO,Branson,3.7 Pts 2.3 Reb 0.6 Ast,Creighton,2013
Will Artino,31,SO,C,6-11,230,Waukee IA,Waukee,3.9 Pts 2.5 Reb 0.4 Ast,Creighton,2013
Josh Jones,5,SR,G,6-2,200,Omaha NE,Central,7.0 Pts 2.4 Reb 1.3 Ast,Creighton,2013
Nevin Johnson,24,FR,G,6-5,200,Spring TX,Spring,2.2 Pts 1.0 Reb 0.3 Ast,Creighton,2013
Andre Yates,11,FR,G,6-2,185,Dayton OH,Dunbar,1.1 Pts 0.5 Reb 0.6 Ast,Creighton,2013
Alex Olsen,40,FR,F,6-6,195,Council Bluffs IA,Abraham Lincoln,0.8 Pts 0.4 Reb 0.0 Ast,Creighton,2013
Geoffrey Groselle,23,FR,C,7-0,240,Plano TX,Plano West HS,0.5 Pts 0.7 Reb 0.1 Ast,Creighton,2013
Taylor Stormberg,2,JR,G,6-0,190,Omaha NE,Creighton Prep,0.2 Pts 0.1 Reb 0.3 Ast,Creighton,2013
Joe Kelling,30,SR,G,6-0,185,Kansas City KS,St. James Academy,0.4 Pts 0.1 Reb 0.4 Ast,Creighton,2013
Mogboluwaga Oginni,50,FR,F,6-8,225,St. Louis MO,St. Louis University HS,0.4 Pts 0.3 Reb 0.1 Ast,Creighton,2013
Jake Cohen,15,SR,F,6-10,235,Berwyn PA,Conestoga,14.9 Pts 5.3 Reb 1.5 Ast,Davidson,2013
De'Mon Brooks,24,JR,F,6-7,230,Charlotte NC,Hopewell,13.7 Pts 6.2 Reb 0.8 Ast,Davidson,2013
Nik Cochran,12,SR,G,6-3,188,,Champlain St. Lambert (QC Canada),9.9 Pts 2.4 Reb 3.3 Ast,Davidson,2013
Chris Czerapowicz,35,JR,G,6-7,210,,Sandagymnasiet,9.1 Pts 5.0 Reb 0.5 Ast,Davidson,2013
Tyler Kalinoski,4,SO,G,6-4,180,Overland Park KS,Olathe East,7.6 Pts 2.8 Reb 1.6 Ast,Davidson,2013
J.P. Kuhlman,5,SR,G,6-4,195,Ponte Vedra Beach FL,Providence School,8.0 Pts 2.7 Reb 3.6 Ast,Davidson,2013
Tom Droney,23,JR,G,6-6,200,Pittsburgh PA,Sewickley Academy,4.2 Pts 2.9 Reb 2.1 Ast,Davidson,2013
Clint Mann,40,SR,F,6-7,229,Overland Park KS,,6.9 Pts 2.8 Reb 0.9 Ast,Davidson,2013
Jordan Barham,20,FR,G,6-4,190,Cleveland OH,University School,2.2 Pts 1.4 Reb 0.1 Ast,Davidson,2013
Jake Belford,25,FR,F,6-9,210,Battle Ground WA,Battle Ground HS,0.7 Pts 0.6 Reb 0.2 Ast,Davidson,2013
Mason Archie,2,SO,G,6-5,185,Indianapolis IN,Tindley School/Davidson,0.7 Pts 0.4 Reb 0.2 Ast,Davidson,2013
Ali Mackay,22,SO,F,6-11,215,,North Berwick,0.4 Pts 0.5 Reb 0.1 Ast,Davidson,2013
Youssef Mejri,1,SO,F,6-7,183,,Montclair Prep,0.3 Pts 0.3 Reb 0.0 Ast,Davidson,2013
Connor Perkey,34,FR,F,6-8,195,Atlanta GA,Pace Academy,0.4 Pts 0.4 Reb 0.0 Ast,Davidson,2013
Clay Tormey,14,JR,G,5-11,165,Chicago IL,Henderson International School,0.1 Pts 0.2 Reb 0.1 Ast,Davidson,2013
Mason Plumlee,5,SR,F,6-10,235,Warsaw IN,Christ School (NC),17.1 Pts 9.9 Reb 1.9 Ast,Duke,2013
Seth Curry,30,SR,G,6-2,185,Charlotte NC,Charlotte Christian,17.5 Pts 2.5 Reb 1.5 Ast,Duke,2013
Quinn Cook,2,SO,G,6-2,185,Washington DC,Oak Hill Academy (VA),11.7 Pts 3.8 Reb 5.3 Ast,Duke,2013
Rasheed Sulaimon,14,FR,G,6-5,195,Houston TX,Strake Jesuit College Prep,11.6 Pts 3.4 Reb 1.9 Ast,Duke,2013
Ryan Kelly,34,SR,F,6-11,230,Raleigh NC,Ravenscroft,12.9 Pts 5.3 Reb 1.7 Ast,Duke,2013
Tyler Thornton,3,JR,G,6-2,190,Washington DC,Gonzaga,3.6 Pts 2.3 Reb 2.2 Ast,Duke,2013
Amile Jefferson,21,FR,F,6-9,215,Philadelphia PA,Friends Central School,4.0 Pts 2.9 Reb 0.2 Ast,Duke,2013
Josh Hairston,15,JR,F,6-8,235,Fredericksburg VA,Montrose Christian (MD),2.6 Pts 2.1 Reb 0.2 Ast,Duke,2013
Alex Murphy,12,FR,F,6-8,225,Wakefield RI,South Kingstown,2.1 Pts 1.0 Reb 0.0 Ast,Duke,2013
Todd Zafirovski,52,SR,F,6-9,245,Lake Forest IL,Lake Forest Academy,0.7 Pts 0.4 Reb 0.0 Ast,Duke,2013
Marshall Plumlee,40,FR,C,7-0,255,Warsaw IN,Christ School (NC),0.1 Pts 0.6 Reb 0.1 Ast,Duke,2013
Mike Rosario,3,SR,G,6-3,183,Jersey City NJ,Saint Anthony,12.5 Pts 2.6 Reb 2.0 Ast,Florida,2013
Kenny Boynton,1,SR,G,6-2,190,Pompano Beach FL,American Heritage,12.0 Pts 3.0 Reb 2.8 Ast,Florida,2013
Erik Murphy,33,SR,F,6-10,238,South Kingstown RI,St Marks (MA),12.2 Pts 5.5 Reb 1.4 Ast,Florida,2013
Patric Young,4,JR,C,6-9,240,Jacksonville FL,Providence HS,10.1 Pts 6.3 Reb 0.9 Ast,Florida,2013
Scottie Wilbekin,5,JR,G,6-2,176,Gainesville FL,The Rock,9.1 Pts 2.9 Reb 5.0 Ast,Florida,2013
Michael Frazier,20,FR,G,6-4,194,Tampa FL,Montverde Academy,5.6 Pts 3.1 Reb 0.9 Ast,Florida,2013
Casey Prather,24,JR,F,6-6,212,Jackson TN,North Side,6.2 Pts 3.7 Reb 1.0 Ast,Florida,2013
Will Yeguete,15,JR,F,6-8,230,,Florida Air Academy,5.5 Pts 5.8 Reb 1.0 Ast,Florida,2013
DeVon Walker,25,FR,G,6-6,203,Winter Haven FL,Winter Haven HS,0.8 Pts 0.7 Reb 0.1 Ast,Florida,2013
Braxton Ogbueze,11,FR,G,6-1,187,Charlotte NC,United Faith,0.8 Pts 0.6 Reb 0.3 Ast,Florida,2013
Jacob Kurtz,0,SO,G,6-6,210,Oviedo FL,Hagerty,0.6 Pts 0.6 Reb 0.1 Ast,Florida,2013
Dillon Graham,12,FR,G,6-4,185,Orlando FL,First Academy,0.5 Pts 0.2 Reb 0.2 Ast,Florida,2013
Sherwood Brown,25,SR,G,6-4,200,Orlando FL,Olympia,15.5 Pts 6.5 Reb 1.2 Ast,Florida Gulf Coast,2013
Bernard Thompson,2,SO,G,6-3,175,Conyers GA,Rockdale County,14.3 Pts 4.4 Reb 1.7 Ast,Florida Gulf Coast,2013
Chase Fieler,20,JR,F,6-8,205,Parkersburg WV,Parkersberg South,12.1 Pts 5.4 Reb 1.6 Ast,Florida Gulf Coast,2013
Brett Comer,0,SO,G,6-3,192,Winter Park FL,Winter Park,8.0 Pts 3.2 Reb 6.6 Ast,Florida Gulf Coast,2013
Eric McKnight,12,SO,F,6-9,220,Raleigh NC,Princeton Day (MD),6.5 Pts 4.4 Reb 0.3 Ast,Florida Gulf Coast,2013
Christophe Varidel,5,JR,G,6-3,177,,Worcester Prep (MA),6.2 Pts 1.8 Reb 0.6 Ast,Florida Gulf Coast,2013
Eddie Murray,23,SR,F,6-8,205,North Fort Myers FL,Bishop Verot,3.8 Pts 3.1 Reb 0.4 Ast,Florida Gulf Coast,2013
Filip Cvjeticanin,15,SO,F,6-9,218,Zagreb Croatia,American School of Madrid/Zagrebacka Umjetnicka Gimnazija,3.6 Pts 2.1 Reb 0.2 Ast,Florida Gulf Coast,2013
Dajuan Graf,35,FR,G,6-0,170,Charlotte NC,Phillip O.Berry Academy,2.3 Pts 1.6 Reb 1.4 Ast,Florida Gulf Coast,2013
L.J. Livingston,21,FR,F,6-10,190,Upper Marlboro MD,Patterson,1.6 Pts 0.9 Reb 0.0 Ast,Florida Gulf Coast,2013
Alexander Blessig,14,FR,G,6-2,181,,Theodolinden-Gymnasium,0.8 Pts 0.6 Reb 0.3 Ast,Florida Gulf Coast,2013
Marcus Blake,24,SO,F,6-7,196,Miami FL,American Heritage,0.3 Pts 0.7 Reb 0.2 Ast,Florida Gulf Coast,2013
Kelly Olynyk,13,JR,F,7-0,238,,South Kamloops,17.8 Pts 7.3 Reb 1.7 Ast,Gonzaga,2013
