"","TEAM","CONF","G","RECORD","W","L","WINPCT","ADJOE","ADJDE","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","YEAR"
"31","Marquette","BE",35,"26 - 9",26,9,0.743,113,93.2,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4.5,"Elite Eight",3,2013
"32","Memphis","CUSA",36,"31 - 5",31,5,0.861,106.1,90.2,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33,69.3,4.5,"Second Round",6,2013
"33","Miami FL","ACC",36,"29 - 7",29,7,0.806,112.4,90.8,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44,36.2,32.6,63,6.3,"Sweet Sixteen",2,2013
"34","Michigan","B10",38,"30 - 8",30,8,0.789,121.5,93.7,54.6,48,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,64.8,6.2,"Runner-up",4,2013
"35","Michigan St.","B10",35,"26 - 9",26,9,0.743,111.4,87.8,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,64.4,6.7,"Sweet Sixteen",3,2013
"36","Middle Tennessee","SB",34,"28 - 6",28,6,0.824,105.1,91,51.1,44.4,20.7,23.6,36.5,29,41.4,42.8,49.2,43.9,37.7,30.3,64.9,0.7,"First Four",11,2013
"37","Minnesota","B10",34,"21 - 13",21,13,0.618,112.6,92.5,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,48.8,42.8,33.7,33.9,64.1,2.1,"Second Round",11,2013
"38","Mississippi","SEC",36,"27 - 9",27,9,0.75,110,95.6,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,49.4,46.2,32.4,31.3,70.9,1.6,"Second Round",12,2013
"39","Missouri","SEC",34,"23 - 11",23,11,0.676,113.3,95.2,51.2,46.1,18.9,17.6,38.7,28.6,35,29.7,51.4,44.1,33.9,33.2,67.7,1.2,"First Round",9,2013
"40","Montana","BSky",30,"23 - 7",23,7,0.767,101.6,101.8,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52,48,36.4,33.3,63.9,-1.4,"First Round",13,2013
"41","New Mexico","MWC",35,"29 - 6",29,6,0.829,107,91.1,48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,46.1,42,35.1,34.6,65.4,6.9,"First Round",3,2013
"42","New Mexico St.","WAC",34,"23 - 11",23,11,0.676,102.5,95.3,49.3,45.4,21.9,18.6,36.9,29.8,47,30.7,49.8,43.2,31.8,33.9,65.1,-3.1,"First Round",13,2013
"43","North Carolina","ACC",35,"24 - 11",24,11,0.686,111.6,93,49.3,48,17.2,21.5,34.6,31.6,28.2,27.1,46.3,46.3,37.2,34.4,71.4,2.5,"Second Round",8,2013
"44","North Carolina A&T","MEAC",36,"19 - 17",19,17,0.528,90.6,95.7,45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,45.4,43.4,30.7,32,66.9,-11.5,"First Round",16,2013
"45","North Carolina St.","ACC",35,"24 - 11",24,11,0.686,115.2,98,54.2,46.8,18,16.6,34.7,32.6,40.9,29,52.8,47.5,39.1,30.2,68.1,2.2,"First Round",8,2013
"46","Northwestern St.","Slnd",28,"19 - 9",19,9,0.679,104.8,102.1,49,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50,46.8,31,33.9,73,-3.2,"First Round",14,2013
"47","Notre Dame","BE",35,"25 - 10",25,10,0.714,112.9,95.4,52.2,46.8,17.6,16,34,29.5,32,24.6,50.6,45.9,37,32.5,61.7,3.9,"First Round",7,2013
"48","Ohio St.","B10",37,"29 - 8",29,8,0.784,113.6,89.4,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,"Elite Eight",2,2013
"49","Oklahoma","B12",32,"20 - 12",20,12,0.625,110.3,95.6,47.8,47.4,17.5,19.6,33.2,31.5,35.4,31.4,47.6,46.4,32.3,32.9,66.7,0.3,"First Round",10,2013
"50","Oklahoma St.","B12",33,"24 - 9",24,9,0.727,107.1,88.6,48.8,44.5,18.2,21.7,31.3,30.8,40.5,35.1,49.5,42.4,31.6,32.4,67.3,3.2,"First Round",5,2013
"51","Oregon","P12",37,"28 - 9",28,9,0.757,104.8,88.6,49.3,46.4,21.4,22,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,2.9,"Sweet Sixteen",12,2013
"52","Pacific","BW",33,"20 - 13",20,13,0.606,104.7,101.1,50.5,50,17.8,20,29.2,30.8,37.7,39.3,46.8,48,38.9,35.4,63.4,-5.1,"First Round",15,2013
"53","Pittsburgh","BE",33,"24 - 9",24,9,0.727,112.8,91.1,51.7,44.6,18.1,22,40.4,30,37.5,36.4,51.5,44,34.9,30.4,60.3,3.1,"First Round",8,2013
"54","Saint Louis","A10",35,"28 - 7",28,7,0.8,108,87.5,50.4,45.5,17.6,23.6,27.9,29.1,44,35,50,44.1,34,33.1,64.7,3.8,"Second Round",4,2013
"55","Saint Mary's","WCC",34,"27 - 7",27,7,0.794,113.9,94.9,53.7,47.1,18.3,17.9,36.9,25,37,36.9,52.3,44,37.3,36.7,64.8,2.5,"First Round",11,2013
"56","San Diego St.","MWC",32,"21 - 11",21,11,0.656,106,89.5,48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,48.3,43.3,32.7,31.8,66.8,0.4,"Second Round",7,2013
"57","South Dakota St.","Sum",32,"22 - 10",22,10,0.688,109.7,103.7,53.3,51.2,16.4,17.1,28.9,26.1,33,24.4,50.4,49.8,38.9,35.8,64,-3.2,"First Round",13,2013
"58","Southern","SWAC",30,"20 - 10",20,10,0.667,95.9,96.7,49.1,41.9,16.8,20.2,26.2,31.1,40.3,34.9,46,40.5,36.7,30,65,-5.7,"First Round",16,2013
"59","Syracuse","BE",40,"30 - 10",30,10,0.75,113,87,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5.1,"Final Four",4,2013
"60","Temple","A10",34,"24 - 10",24,10,0.706,110.7,96.9,49,49,15.9,20.1,30.8,31.4,35.6,34.1,48.8,47.3,32.8,35.3,66.8,1.5,"Second Round",9,2013
"61","UCLA","P12",35,"25 - 10",25,10,0.714,110,94.8,49.1,47.5,15.8,19.9,30.7,34,33.1,24.6,48.9,46.9,33.3,32.4,69.6,3.3,"First Round",6,2013
"62","UNLV","MWC",34,"24 - 10",24,10,0.706,104.7,88.4,48.9,44.1,20.2,18.5,33.3,27.1,36.7,29.6,48.9,42.6,32.6,31.6,69.3,1.8,"First Round",5,2013
"63","VCU","A10",36,"27 - 9",27,9,0.75,113.8,92.1,51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,50.5,50.1,35.1,32.9,68.1,2.6,"Second Round",5,2013
"64","Valparaiso","Horz",33,"25 - 8",25,8,0.758,107.8,97.9,55.7,46.2,21.8,19.5,31.2,28.2,41.7,36.8,55.7,44.5,37.1,33.8,65.6,-0.8,"First Round",14,2013
"65","Villanova","BE",33,"19 - 14",19,14,0.576,105.3,90.5,47.3,47.3,22.9,22,33.1,29.5,50.6,40.9,46,42.4,33.2,37.3,67.7,0.3,"First Round",9,2013
"66","Western Kentucky","SB",35,"19 - 16",19,16,0.543,100.1,100.4,48.6,47.9,22.2,20.8,34.8,30.7,37.6,37.8,48.3,47.6,32.7,32.4,66,-8.4,"First Round",16,2013
"67","Wichita St.","MVC",39,"30 - 9",30,9,0.769,110.6,91,50,45.3,19.4,20,38,26.5,36.5,38.3,49.6,43.6,33.9,32.2,65,2.2,"Final Four",9,2013
"68","Wisconsin","B10",35,"23 - 12",23,12,0.657,107.2,84.3,48.6,43,15.7,18,32.6,26.9,29.7,25.7,48,42.8,33,28.9,61.9,4.6,"First Round",5,2013
"69","Albany","AE",34,"19 - 15",19,15,0.559,102.8,103.1,48.8,48.3,19.7,18.3,31.9,28.4,42,29.1,47,46,36,34.9,63.2,-8.6,"First Round",16,2014
"70","American","Pat",33,"20 - 13",20,13,0.606,101.8,97.7,55.8,46.4,23.1,19.6,26.5,29.7,35,40.7,55.1,45.7,37.9,31.9,61.4,-5.5,"First Round",15,2014
